Date,Open,High,Low,Close,Volume
2024-10-25,36.74,38.33,35.7,37.01,51894648
2024-10-28,37.08,38.5,37.09,37.54,35610500
2024-10-29,36.8,38.25,35.87,37.28,79755194
2024-10-30,38.38,39.24,36.55,37.89,28245696
2024-10-31,37.2,38.05,36.35,37.27,50402297
2024-11-01,36.96,37.54,36.07,37.08,29921595
2024-11-04,36.87,37.02,35.91,36.69,39363941
2024-11-05,36.48,37.97,36.39,36.76,63123406
2024-11-06,39.06,39.65,37.91,38.61,64228961
2024-11-07,37.41,38.26,35.86,37.12,57862524
2024-11-08,37.26,38.23,37.36,37.67,70229602
2024-11-11,36.3,36.84,35.68,36.38,52571568
2024-11-12,36.38,36.32,35.22,36.0,62424280
2024-11-13,37.31,37.59,35.93,36.87,65676503
2024-11-14,36.89,37.93,35.52,36.92,54304715
2024-11-15,36.17,36.83,35.34,36.06,16074961
2024-11-18,35.16,36.31,34.77,35.49,36402894
2024-11-19,36.52,37.41,34.84,36.03,26950571
2024-11-20,35.18,36.17,34.61,35.45,34155151
2024-11-21,36.06,36.54,35.05,35.62,66465754
2024-11-22,35.81,36.9,34.82,35.66,79718407
2024-11-25,35.24,35.91,34.66,35.13,27866619
2024-11-26,36.86,37.9,36.34,36.85,73628525
2024-11-27,37.09,38.69,36.46,37.36,17474968
2024-11-28,35.42,37.18,34.94,35.74,54720592
2024-11-29,35.61,36.37,34.49,35.89,71004188
2024-12-02,35.05,36.77,34.63,35.36,62123764
2024-12-03,36.32,36.93,35.04,36.04,70976455
2024-12-04,35.25,36.01,34.34,35.4,37749774
2024-12-05,34.87,36.16,34.99,35.31,17442266
2024-12-06,36.19,37.2,34.62,35.72,19437677
2024-12-09,36.79,37.3,35.9,36.41,78262257
2024-12-10,35.88,36.14,34.0,35.45,62347699
2024-12-11,35.67,36.24,34.7,35.18,24607366
2024-12-12,34.47,35.39,34.0,34.8,20241218
2024-12-13,34.18,34.67,33.88,34.28,41821567
2024-12-16,35.95,36.14,34.19,35.69,70482283
2024-12-17,36.22,36.47,35.12,36.02,20481140
2024-12-18,34.66,35.49,34.0,35.01,38991831
2024-12-19,36.06,36.21,35.36,35.74,77697275
2024-12-20,37.16,38.51,36.24,37.44,76788537
2024-12-23,37.98,38.78,37.71,38.26,46247234
2024-12-24,37.09,37.76,35.67,37.05,73342291
2024-12-25,36.75,38.04,36.11,36.66,53535694
2024-12-26,37.76,38.55,37.15,37.68,69856856
2024-12-27,36.7,38.21,36.77,37.11,20290717
2024-12-30,37.84,37.97,36.59,37.46,49072781
