idCliente,clienteNomeFantasia,clienteSetor,clienteCidade,clienteEstadoSigla
39,SR. BANK,CREDITO,CAMPO GRANDE,MS
40,SR. CRED,CREDITO,SAO PAULO,SP
41,SR. VEST,VESTUARIO,SAO PAULO,SP
42,SR. MALHA,VESTUARIO,SAO PAULO,SP
43,SR. FOOD,BEBIDAS E ALIMENTOS,SAO PAULO,SP
44,SR. PIZZA,BEBIDAS E ALIMENTOS,SAO PAULO,SP
45,SR. JAPA,BEBIDAS E ALIMENTOS,SAO CARLOS,SP
46,SR. VEG,BEBIDAS E ALIMENTOS,MARILIA,SP
47,SR. DRINK,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
48,SR. BEER,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
49,SR. PASTA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
50,SR. FRIENDS,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
51,SR. HAPPY HOUR,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
52,SR. LIFE,SAUDE,SALVADOR,CE
53,SR. MED,SAUDE,RECIFE,PE
54,SR. PREVENT,SAUDE,FORTALEZA,CE
55,SR. SENIOR,SAUDE,CURITIBA,PR
56,SR. HAPPY,SAUDE,FLORIANOPOLIS,SC
57,SR. TECH,TECNOLOGIA,PORTO ALEGRE,RS
58,SR. MOBILE,TECNOLOGIA,MANAUS,AM
59,SR. APP,TECNOLOGIA,CAMPO GRANDE,MS
60,SR. BANK,CREDITO,SAO PAULO,SP
61,SR. CRED,CREDITO,SAO PAULO,SP
62,SR. VEST,VESTUARIO,SAO PAULO,SP
63,SR. MALHA,VESTUARIO,SAO PAULO,SP
64,TOP FOOD,BEBIDAS E ALIMENTOS,SAO PAULO,SP
65,TOP PIZZA,BEBIDAS E ALIMENTOS,SAO CARLOS,SP
66,TOP JAPA,BEBIDAS E ALIMENTOS,MARILIA,SP
67,TOP VEG,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
68,TOP DRINK,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
69,TOP BEER,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
70,TOP PASTA,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
71,TOP FRIENDS,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
72,TOP HAPPY HOUR,BEBIDAS E ALIMENTOS,SALVADOR,CE
73,TOP LIFE,SAUDE,RECIFE,PE
74,TOP MED,SAUDE,FORTALEZA,CE
75,TOP PREVENT,SAUDE,CURITIBA,PR
76,TOP SENIOR,SAUDE,FLORIANOPOLIS,SC
77,TOP HAPPY,SAUDE,PORTO ALEGRE,RS
78,TOP TECH,TECNOLOGIA,MANAUS,AM
79,TOP MOBILE,TECNOLOGIA,CAMPO GRANDE,MS
80,TOP APP,TECNOLOGIA,SAO PAULO,SP
81,TOP BANK,CREDITO,SAO PAULO,SP
82,TOP CRED,CREDITO,SAO PAULO,SP
83,TOP VEST,VESTUARIO,SAO PAULO,SP
84,TOP MALHA,VESTUARIO,SAO PAULO,SP
85,REDE FOOD,BEBIDAS E ALIMENTOS,SAO CARLOS,SP
86,REDE PIZZA,BEBIDAS E ALIMENTOS,MARILIA,SP
87,REDE JAPA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
88,REDE VEG,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
89,REDE DRINK,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
90,REDE BEER,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
91,REDE PASTA,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
92,REDE FRIENDS,BEBIDAS E ALIMENTOS,SALVADOR,CE
93,REDE HAPPY HOUR,BEBIDAS E ALIMENTOS,RECIFE,PE
94,REDE LIFE,SAUDE,FORTALEZA,CE
95,REDE MED,SAUDE,CURITIBA,PR
96,REDE PREVENT,SAUDE,FLORIANOPOLIS,SC
97,REDE SENIOR,SAUDE,PORTO ALEGRE,RS
98,REDE HAPPY,SAUDE,MANAUS,AM
99,REDE TECH,TECNOLOGIA,CAMPO GRANDE,MS
100,REDE MOBILE,TECNOLOGIA,SAO PAULO,SP
101,REDE APP,TECNOLOGIA,SAO PAULO,SP
102,REDE BANK,CREDITO,SAO PAULO,SP
103,REDE CRED,CREDITO,SAO PAULO,SP
104,REDE VEST,VESTUARIO,SAO PAULO,SP
105,REDE MALHA,VESTUARIO,SAO CARLOS,SP
106,BIG FOOD,BEBIDAS E ALIMENTOS,MARILIA,SP
107,BIG PIZZA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
108,BIG JAPA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
109,BIG VEG,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
110,BIG DRINK,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
111,BIG BEER,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
112,BIG PASTA,BEBIDAS E ALIMENTOS,SALVADOR,CE
113,BIG FRIENDS,BEBIDAS E ALIMENTOS,RECIFE,PE
114,BIG HAPPY HOUR,BEBIDAS E ALIMENTOS,FORTALEZA,CE
115,BIG LIFE,SAUDE,CURITIBA,PR
116,BIG MED,SAUDE,FLORIANOPOLIS,SC
117,BIG PREVENT,SAUDE,PORTO ALEGRE,RS
118,BIG SENIOR,SAUDE,MANAUS,AM
119,BIG HAPPY,SAUDE,CAMPO GRANDE,MS
120,BIG TECH,TECNOLOGIA,SAO PAULO,SP
121,BIG MOBILE,TECNOLOGIA,SAO PAULO,SP
122,BIG APP,TECNOLOGIA,SAO PAULO,SP
123,BIG BANK,CREDITO,SAO PAULO,SP
124,BIG CRED,CREDITO,SAO PAULO,SP
125,BIG VEST,VESTUARIO,SAO CARLOS,SP
126,BIG MALHA,VESTUARIO,MARILIA,SP
127,VEM DE FOOD,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
128,VEM DE PIZZA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
129,VEM DE JAPA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
130,VEM DE VEG,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
131,VEM DE DRINK,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
132,VEM DE BEER,BEBIDAS E ALIMENTOS,SALVADOR,CE
133,VEM DE PASTA,BEBIDAS E ALIMENTOS,RECIFE,PE
134,VEM DE FRIENDS,BEBIDAS E ALIMENTOS,FORTALEZA,CE
135,VEM DE HAPPY HOUR,BEBIDAS E ALIMENTOS,CURITIBA,PR
136,VEM DE LIFE,SAUDE,FLORIANOPOLIS,SC
137,VEM DE MED,SAUDE,PORTO ALEGRE,RS
138,VEM DE PREVENT,SAUDE,MANAUS,AM
139,VEM DE SENIOR,SAUDE,CAMPO GRANDE,MS
140,VEM DE HAPPY,SAUDE,SAO PAULO,SP
141,VEM DE TECH,TECNOLOGIA,SAO PAULO,SP
142,VEM DE MOBILE,TECNOLOGIA,SAO PAULO,SP
143,VEM DE APP,TECNOLOGIA,SAO PAULO,SP
144,VEM DE BANK,CREDITO,SAO PAULO,SP
145,VEM DE CRED,CREDITO,SAO CARLOS,SP
146,VEM DE VEST,VESTUARIO,MARILIA,SP
147,VEM DE MALHA,VESTUARIO,RIO DE JANEIRO,RJ
148,#FOOD,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
149,#PIZZA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
150,#JAPA,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
151,#VEG,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
152,#DRINK,BEBIDAS E ALIMENTOS,SALVADOR,CE
153,#BEER,BEBIDAS E ALIMENTOS,RECIFE,PE
154,#PASTA,BEBIDAS E ALIMENTOS,FORTALEZA,CE
155,#FRIENDS,BEBIDAS E ALIMENTOS,CURITIBA,PR
156,#HAPPY HOUR,BEBIDAS E ALIMENTOS,FLORIANOPOLIS,SC
157,#LIFE,SAUDE,PORTO ALEGRE,RS
158,#MED,SAUDE,MANAUS,AM
159,#PREVENT,SAUDE,CAMPO GRANDE,MS
160,#SENIOR,SAUDE,SAO PAULO,SP
161,#HAPPY,SAUDE,SAO PAULO,SP
162,#TECH,TECNOLOGIA,SAO PAULO,SP
163,#MOBILE,TECNOLOGIA,SAO PAULO,SP
164,#APP,TECNOLOGIA,SAO PAULO,SP
165,#BANK,CREDITO,SAO CARLOS,SP
166,#CRED,CREDITO,MARILIA,SP
167,#VEST,VESTUARIO,RIO DE JANEIRO,RJ
168,#MALHA,VESTUARIO,RIO DE JANEIRO,RJ
169,GOOD FOOD,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
170,GOOD PIZZA,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
171,GOOD JAPA,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
172,GOOD VEG,BEBIDAS E ALIMENTOS,SALVADOR,CE
173,GOOD DRINK,BEBIDAS E ALIMENTOS,RECIFE,PE
174,GOOD BEER,BEBIDAS E ALIMENTOS,FORTALEZA,CE
175,GOOD PASTA,BEBIDAS E ALIMENTOS,CURITIBA,PR
176,GOOD FRIENDS,BEBIDAS E ALIMENTOS,FLORIANOPOLIS,SC
177,GOOD HAPPY HOUR,BEBIDAS E ALIMENTOS,PORTO ALEGRE,RS
178,GOOD LIFE,SAUDE,MANAUS,AM
179,GOOD MED,SAUDE,CAMPO GRANDE,MS
180,GOOD PREVENT,SAUDE,SAO PAULO,SP
181,GOOD SENIOR,SAUDE,SAO PAULO,SP
182,GOOD HAPPY,SAUDE,SAO PAULO,SP
183,GOOD TECH,TECNOLOGIA,SAO PAULO,SP
184,GOOD MOBILE,TECNOLOGIA,SAO PAULO,SP
185,GOOD APP,TECNOLOGIA,SAO CARLOS,SP
186,GOOD BANK,CREDITO,MARILIA,SP
187,GOOD CRED,CREDITO,RIO DE JANEIRO,RJ
188,GOOD VEST,VESTUARIO,RIO DE JANEIRO,RJ
189,GOOD MALHA,VESTUARIO,RIO DE JANEIRO,RJ
190,MR. FOOD,BEBIDAS E ALIMENTOS,BELO HORIZONTE,MG
191,MR. PIZZA,BEBIDAS E ALIMENTOS,UBERLANDIA,MG
192,MR. JAPA,BEBIDAS E ALIMENTOS,SALVADOR,CE
193,MR. VEG,BEBIDAS E ALIMENTOS,RECIFE,PE
194,MR. DRINK,BEBIDAS E ALIMENTOS,FORTALEZA,CE
195,MR. BEER,BEBIDAS E ALIMENTOS,CURITIBA,PR
196,MR. PASTA,BEBIDAS E ALIMENTOS,FLORIANOPOLIS,SC
197,MR. FRIENDS,BEBIDAS E ALIMENTOS,PORTO ALEGRE,RS
198,MR. HAPPY HOUR,BEBIDAS E ALIMENTOS,MANAUS,AM
199,MR. LIFE,SAUDE,CAMPO GRANDE,MS
200,MR. MED,SAUDE,SAO PAULO,SP
201,MR. PREVENT,SAUDE,SAO PAULO,SP
202,MR. SENIOR,SAUDE,SAO PAULO,SP
203,MR. HAPPY,SAUDE,SAO PAULO,SP
204,MR. TECH,TECNOLOGIA,SAO PAULO,SP
205,MR. MOBILE,TECNOLOGIA,SAO CARLOS,SP
206,MR. APP,TECNOLOGIA,MARILIA,SP
207,MR. BANK,CREDITO,RIO DE JANEIRO,RJ
208,MR. CRED,CREDITO,RIO DE JANEIRO,RJ
209,MR. VEST,VESTUARIO,RIO DE JANEIRO,RJ
210,MR. MALHA,VESTUARIO,BELO HORIZONTE,MG
