cargoPK,cargoNome,cargoJornadaTrabalho,cargoNivel
204,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,SENIOR
205,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,JUNIOR
206,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,PLENO
207,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,SENIOR
208,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,JUNIOR
209,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,PLENO
210,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,SENIOR
211,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,JUNIOR
212,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,PLENO
213,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,SENIOR
214,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,JUNIOR
215,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,PLENO
216,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,SENIOR
217,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,JUNIOR
218,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,PLENO
219,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,SENIOR
220,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,JUNIOR
221,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,PLENO
222,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,SENIOR
223,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,JUNIOR
224,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,PLENO
225,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,SENIOR
226,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,JUNIOR
227,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,PLENO
228,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,SENIOR
229,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,JUNIOR
230,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,PLENO
231,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,SENIOR
232,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,JUNIOR
233,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,PLENO
234,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,SENIOR
235,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,JUNIOR
236,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,PLENO
237,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,20H,SENIOR
238,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,JUNIOR
239,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,PLENO
240,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,40H,SENIOR
241,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,JUNIOR
242,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,PLENO
243,ADMINISTRADOR DE SISTEMAS COMPUTACIONAIS,44H,SENIOR
244,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,JUNIOR
245,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,PLENO
246,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,SENIOR
247,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,JUNIOR
248,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,PLENO
249,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,SENIOR
250,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,JUNIOR
251,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,PLENO
252,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,SENIOR
253,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,JUNIOR
254,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,PLENO
255,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,SENIOR
256,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,JUNIOR
257,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,PLENO
258,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,SENIOR
259,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,JUNIOR
260,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,PLENO
261,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,SENIOR
262,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,JUNIOR
263,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,PLENO
264,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,20H,SENIOR
265,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,JUNIOR
266,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,PLENO
267,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,40H,SENIOR
268,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,JUNIOR
269,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,PLENO
270,ADMINISTRADOR EM SEGURANCA DA INFORMACAO,44H,SENIOR
271,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,JUNIOR
272,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,PLENO
273,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,SENIOR
274,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,JUNIOR
275,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,PLENO
276,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,SENIOR
277,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,JUNIOR
278,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,PLENO
279,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,SENIOR
280,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,JUNIOR
281,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,PLENO
282,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,SENIOR
283,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,JUNIOR
284,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,PLENO
285,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,SENIOR
286,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,JUNIOR
287,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,PLENO
288,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,SENIOR
289,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,JUNIOR
290,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,PLENO
291,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,20H,SENIOR
292,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,JUNIOR
293,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,PLENO
294,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,40H,SENIOR
295,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,JUNIOR
296,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,PLENO
297,ANALISTA DE REDES E DE COMUNICACAO DE DADOS,44H,SENIOR
298,ANALISTA DE SISTEMAS (INFORMATICA),20H,JUNIOR
299,ANALISTA DE SISTEMAS (INFORMATICA),20H,PLENO
300,ANALISTA DE SISTEMAS (INFORMATICA),20H,SENIOR
301,ANALISTA DE SISTEMAS (INFORMATICA),40H,JUNIOR
302,ANALISTA DE SISTEMAS (INFORMATICA),40H,PLENO
303,ANALISTA DE SISTEMAS (INFORMATICA),40H,SENIOR
304,ANALISTA DE SISTEMAS (INFORMATICA),44H,JUNIOR
305,ANALISTA DE SISTEMAS (INFORMATICA),44H,PLENO
306,ANALISTA DE SISTEMAS (INFORMATICA),44H,SENIOR
307,ANALISTA DE SISTEMAS (INFORMATICA),20H,JUNIOR
308,ANALISTA DE SISTEMAS (INFORMATICA),20H,PLENO
309,ANALISTA DE SISTEMAS (INFORMATICA),20H,SENIOR
310,ANALISTA DE SISTEMAS (INFORMATICA),40H,JUNIOR
311,ANALISTA DE SISTEMAS (INFORMATICA),40H,PLENO
312,ANALISTA DE SISTEMAS (INFORMATICA),40H,SENIOR
313,ANALISTA DE SISTEMAS (INFORMATICA),44H,JUNIOR
314,ANALISTA DE SISTEMAS (INFORMATICA),44H,PLENO
315,ANALISTA DE SISTEMAS (INFORMATICA),44H,SENIOR
316,ANALISTA DE SISTEMAS (INFORMATICA),20H,JUNIOR
317,ANALISTA DE SISTEMAS (INFORMATICA),20H,PLENO
318,ANALISTA DE SISTEMAS (INFORMATICA),20H,SENIOR
319,ANALISTA DE SISTEMAS (INFORMATICA),40H,JUNIOR
320,ANALISTA DE SISTEMAS (INFORMATICA),40H,PLENO
321,ANALISTA DE SISTEMAS (INFORMATICA),40H,SENIOR
322,ANALISTA DE SISTEMAS (INFORMATICA),44H,JUNIOR
323,ANALISTA DE SISTEMAS (INFORMATICA),44H,PLENO
324,ANALISTA DE SISTEMAS (INFORMATICA),44H,SENIOR
325,DBA,20H,JUNIOR
326,DBA,20H,PLENO
327,DBA,20H,SENIOR
328,DBA,40H,JUNIOR
329,DBA,40H,PLENO
330,DBA,40H,SENIOR
331,DBA,44H,JUNIOR
332,DBA,44H,PLENO
333,DBA,44H,SENIOR
334,DBA,20H,JUNIOR
335,DBA,20H,PLENO
336,DBA,20H,SENIOR
337,DBA,40H,JUNIOR
338,DBA,40H,PLENO
339,DBA,40H,SENIOR
340,DBA,44H,JUNIOR
341,DBA,44H,PLENO
342,DBA,44H,SENIOR
343,DBA,20H,JUNIOR
344,DBA,20H,PLENO
345,DBA,20H,SENIOR
346,DBA,40H,JUNIOR
347,DBA,40H,PLENO
348,DBA,40H,SENIOR
349,DBA,44H,JUNIOR
350,DBA,44H,PLENO
351,DBA,44H,SENIOR
352,ENGENHEIRO DE DADOS,20H,JUNIOR
353,ENGENHEIRO DE DADOS,20H,PLENO
354,ENGENHEIRO DE DADOS,20H,SENIOR
355,ENGENHEIRO DE DADOS,40H,JUNIOR
356,ENGENHEIRO DE DADOS,40H,PLENO
357,ENGENHEIRO DE DADOS,40H,SENIOR
358,ENGENHEIRO DE DADOS,44H,JUNIOR
359,ENGENHEIRO DE DADOS,44H,PLENO
360,ENGENHEIRO DE DADOS,44H,SENIOR
361,ENGENHEIRO DE DADOS,20H,JUNIOR
362,ENGENHEIRO DE DADOS,20H,PLENO
363,ENGENHEIRO DE DADOS,20H,SENIOR
364,ENGENHEIRO DE DADOS,40H,JUNIOR
365,ENGENHEIRO DE DADOS,40H,PLENO
366,ENGENHEIRO DE DADOS,40H,SENIOR
367,ENGENHEIRO DE DADOS,44H,JUNIOR
368,ENGENHEIRO DE DADOS,44H,PLENO
369,ENGENHEIRO DE DADOS,44H,SENIOR
370,ENGENHEIRO DE DADOS,20H,JUNIOR
371,ENGENHEIRO DE DADOS,20H,PLENO
372,ENGENHEIRO DE DADOS,20H,SENIOR
373,ENGENHEIRO DE DADOS,40H,JUNIOR
374,ENGENHEIRO DE DADOS,40H,PLENO
375,ENGENHEIRO DE DADOS,40H,SENIOR
376,ENGENHEIRO DE DADOS,44H,JUNIOR
377,ENGENHEIRO DE DADOS,44H,PLENO
378,ENGENHEIRO DE DADOS,44H,SENIOR
379,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,JUNIOR
380,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,PLENO
381,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,SENIOR
382,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,JUNIOR
383,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,PLENO
384,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,SENIOR
385,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,JUNIOR
386,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,PLENO
387,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,44H,SENIOR
388,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,JUNIOR
389,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,PLENO
390,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,20H,SENIOR
391,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,JUNIOR
392,OPERADOR DE CENTRO DE PROCESSAMENTO DE DADOS,40H,PLENO
